import time: self [us] | cumulative | imported package
import time:       128 |       3875 |           attr.converters
import time:       112 |        112 |           attr.filters
import time:      2647 |       2647 |           attr.validators
import time:       117 |        117 |           attr._cmp
import time:       106 |        106 |           attr._funcs
import time:       112 |        112 |           attr._next_gen
import time:       406 |        406 |           attr._version_info
import time:       264 |       7635 |         attr
import time:        98 |         98 |         rich.abc
import time:      1557 |       9290 |       rich.pretty
import time:       210 |        210 |       rich.region
import time:       221 |        221 |           rich.box
import time:       160 |        160 |           rich.padding
import time:       182 |        562 |         rich.panel
import time:       910 |        910 |             fractions
import time:       172 |       1081 |           rich._ratio
import time:      1290 |       2371 |         rich.table
import time:       119 |       3050 |       rich.scope
import time:       129 |        129 |       rich.screen
import time:        91 |         91 |       rich.styled
import time:      2489 |      28119 |     rich.console
import time:       267 |     157697 |   celeri.celeri_util
import time:       452 |        452 |       gettext
import time:      1015 |       1466 |     argparse
import time:      1325 |       1325 |                 typing_extensions
import time:       609 |        609 |                 pydantic_core._pydantic_core
import time:      9019 |       9019 |                 pydantic_core.core_schema
import time:       451 |      11403 |               pydantic_core
import time:        86 |      11489 |             pydantic.version
import time:       228 |      11717 |           pydantic.warnings
import time:       184 |      11900 |         pydantic._migration
import time:        93 |         93 |             typing_inspection
import time:       866 |        866 |             typing_inspection.typing_objects
import time:       549 |       1507 |           typing_inspection.introspection
import time:        97 |         97 |           pydantic._internal
import time:       262 |        262 |               pydantic._internal._namespace_utils
import time:       273 |        534 |             pydantic._internal._typing_extra
import time:       179 |        713 |           pydantic._internal._repr
import time:       300 |       2615 |         pydantic.errors
import time:       209 |      14723 |       pydantic
import time:        57 |         57 |           pydantic._internal._internal_dataclass
import time:       746 |        802 |         pydantic.aliases
import time:       885 |        885 |         pydantic.config
import time:       209 |       1896 |       pydantic._internal._config
import time:       183 |        183 |         pydantic._internal._core_utils
import time:        89 |         89 |           pydantic._internal._import_utils
import time:       663 |        751 |         pydantic._internal._utils
import time:      2456 |       3390 |       pydantic._internal._decorators
import time:       353 |        353 |           pydantic._internal._forward_ref
import time:       458 |        810 |         pydantic._internal._generics
import time:       117 |        117 |         pydantic._internal._docs_extraction
import time:       255 |       1181 |       pydantic._internal._fields
import time:       368 |        368 |           pydantic.plugin
import time:       183 |        551 |         pydantic.plugin._schema_validator
import time:       213 |        763 |       pydantic._internal._mock_val_ser
import time:       214 |        214 |             _uuid
import time:       389 |        602 |           uuid
import time:       167 |        167 |             zoneinfo._tzpath
import time:       117 |        117 |             zoneinfo._common
import time:       151 |        151 |             _zoneinfo
import time:       144 |        577 |           zoneinfo
import time:       128 |        128 |           pydantic.annotated_handlers
import time:      2078 |       2078 |           pydantic.functional_validators
import time:       222 |        222 |             pydantic._internal._core_metadata
import time:       139 |        139 |             pydantic._internal._schema_generation_shared
import time:      1699 |       2059 |           pydantic.json_schema
import time:       210 |        210 |           pydantic._internal._discriminated_union
import time:       188 |        188 |           pydantic._internal._known_annotated_metadata
import time:       458 |        458 |           pydantic._internal._schema_gather
import time:      1220 |       7517 |         pydantic._internal._generate_schema
import time:       125 |        125 |         pydantic._internal._signature
import time:       321 |       7962 |       pydantic._internal._model_construction
import time:       244 |        244 |         celeri.constants
import time:      1581 |       1581 |             h5py._errors
import time:       636 |        636 |                 h5py.defs
import time:        42 |         42 |                   gc
import time:       252 |        293 |                 h5py._objects
import time:       106 |        106 |                 h5py.h5py_warnings
import time:       254 |       1287 |               h5py.h5
import time:       273 |       1560 |             h5py.version
import time:       149 |        149 |                     h5py.utils
import time:      2603 |       2751 |                   h5py.h5t
import time:       381 |        381 |                   h5py.h5s
import time:       149 |        149 |                   h5py.h5ac
import time:      1139 |       4419 |                 h5py.h5p
import time:       230 |       4649 |               h5py.h5r
import time:       142 |        142 |                 h5py._npystrings
import time:       230 |        372 |               h5py._proxy
import time:       365 |       5384 |             h5py._conv
import time:       226 |        226 |             h5py.h5z
import time:       402 |        402 |             h5py.h5a
import time:       804 |        804 |             h5py.h5d
import time:       240 |        240 |             h5py.h5ds
import time:       319 |        319 |               h5py.h5g
import time:       163 |        163 |               h5py.h5i
import time:       269 |        269 |               h5py.h5o
import time:       621 |       1370 |             h5py.h5f
import time:       344 |        344 |             h5py.h5fd
import time:       149 |        149 |             h5py.h5pl
import time:        87 |         87 |             h5py._hl
import time:        66 |         66 |                 h5py._hl.compat
import time:       379 |        445 |               h5py._hl.base
import time:       247 |        691 |             h5py._hl.filters
import time:       473 |        473 |                 h5py.h5l
import time:       279 |        279 |                   h5py._selector
import time:       207 |        207 |                   h5py._hl.selections
import time:        88 |         88 |                   h5py._hl.selections2
import time:        83 |         83 |                   h5py._hl.datatype
import time:       236 |        236 |                   h5py._hl.vds
import time:       497 |       1388 |                 h5py._hl.dataset
import time:       277 |       2136 |               h5py._hl.group
import time:       259 |       2395 |             h5py._hl.files
import time:       171 |        171 |             h5py._hl.attrs
import time:       371 |      15767 |           h5py
import time:        99 |         99 |             zarr._version
import time:        61 |         61 |               zarr.api
import time:       322 |        322 |                   numpy._typing._add_docstring
import time:       113 |        435 |                 numpy.typing
import time:        65 |         65 |                   zarr.abc
import time:      1004 |       1068 |                 zarr.abc.store
import time:       448 |        448 |                       zarr.core.buffer.core
import time:        81 |         81 |                               donfig.version
import time:       226 |        226 |                                 pprint
import time:       269 |        269 |                                   yaml.error
import time:       267 |        267 |                                   yaml.tokens
import time:       259 |        259 |                                   yaml.events
import time:       368 |        368 |                                   yaml.nodes
import time:      2572 |       2572 |                                     yaml.reader
import time:       330 |        330 |                                     yaml.scanner
import time:       389 |        389 |                                     yaml.parser
import time:       153 |        153 |                                     yaml.composer
import time:       652 |        652 |                                     yaml.constructor
