import time: self [us] | cumulative | imported package
import time:       127 |        127 |         loguru._error_interceptor
import time:       738 |        738 |             _decimal
import time:       127 |        864 |           decimal
import time:       173 |        173 |           loguru._string_parsers
import time:        86 |         86 |           loguru._ctime_functions
import time:       291 |       1413 |         loguru._file_sink
import time:        71 |         71 |         loguru._get_frame
import time:        82 |         82 |           loguru._locks_machinery
import time:       195 |        276 |         loguru._handler
import time:       226 |        226 |         loguru._recattrs
import time:       130 |        130 |         loguru._simple_sinks
import time:       949 |      18443 |       loguru._logger
import time:       581 |        581 |       _sysconfigdata__linux_x86_64-linux-gnu
import time:      3049 |      22241 |     loguru
import time:       143 |        143 |         rich._extension
import time:       295 |        438 |       rich
import time:       275 |        275 |         termios
import time:       172 |        446 |       getpass
import time:       925 |        925 |         html.entities
import time:       293 |       1218 |       html
import time:       200 |        200 |       rich._null_file
import time:       148 |        148 |       rich.errors
import time:       100 |        100 |               colorsys
import time:       223 |        223 |                   rich.color_triplet
import time:       166 |        389 |                 rich.palette
import time:        89 |        478 |               rich._palettes
import time:       248 |        248 |               rich.repr
import time:       146 |        146 |               rich.terminal_theme
import time:       772 |       1741 |             rich.color
import time:       485 |       2225 |           rich.style
import time:       362 |       2587 |         rich.default_styles
import time:      1319 |       1319 |           configparser
import time:       237 |       1555 |         rich.theme
import time:        99 |       4241 |       rich.themes
import time:      1874 |       1874 |         rich._emoji_codes
import time:       268 |       2142 |       rich._emoji_replace
import time:       105 |        105 |       rich._export_format
import time:        67 |         67 |       rich._fileno
import time:       134 |        134 |           rich._loop
import time:        64 |         64 |           rich._pick
import time:       124 |        124 |               rich._cell_widths
import time:       271 |        394 |             rich.cells
import time:       133 |        526 |           rich._wrap
import time:       785 |        785 |                 rich.segment
import time:       132 |        917 |               rich.jupyter
import time:        86 |         86 |                 rich.protocol
import time:       257 |        342 |               rich.measure
import time:        91 |       1349 |             rich.constrain
import time:       234 |       1582 |           rich.align
import time:       538 |        538 |           rich.containers
import time:       250 |        250 |           rich.control
import time:       173 |        173 |           rich.emoji
import time:       809 |       4073 |         rich.text
import time:       170 |       4243 |       rich._log_render
import time:       223 |        223 |       rich.highlighter
import time:       500 |        500 |       rich.markup
import time:       140 |        140 |       rich.pager
import time:       319 |        319 |             attr._compat
import time:       214 |        214 |               unicodedata
import time:        77 |         77 |               attr._config
import time:       168 |        168 |                 attr.exceptions
import time:        76 |        244 |               attr.setters
import time:      2939 |       3472 |             attr._make
import time:       151 |       3942 |           attr.converters
import time:       126 |        126 |           attr.filters
import time:      2693 |       2693 |           attr.validators
import time:       123 |        123 |           attr._cmp
import time:       122 |        122 |           attr._funcs
import time:       125 |        125 |           attr._next_gen
import time:       448 |        448 |           attr._version_info
import time:       287 |       7861 |         attr
import time:       110 |        110 |         rich.abc
import time:      1641 |       9611 |       rich.pretty
import time:       226 |        226 |       rich.region
import time:       223 |        223 |           rich.box
import time:       164 |        164 |           rich.padding
import time:       196 |        582 |         rich.panel
import time:       958 |        958 |             fractions
import time:       200 |       1157 |           rich._ratio
import time:      1365 |       2521 |         rich.table
import time:       132 |       3234 |       rich.scope
import time:       140 |        140 |       rich.screen
import time:        95 |         95 |       rich.styled
import time:      2439 |      29846 |     rich.console
import time:      4078 |     180886 |   celeri.celeri_util
import time:       511 |        511 |       gettext
import time:      1115 |       1625 |     argparse
import time:      1376 |       1376 |                 typing_extensions
import time:       930 |        930 |                 pydantic_core._pydantic_core
import time:      9381 |       9381 |                 pydantic_core.core_schema
import time:       425 |      12110 |               pydantic_core
import time:       110 |      12219 |             pydantic.version
import time:       219 |      12438 |           pydantic.warnings
import time:       233 |      12671 |         pydantic._migration
import time:       110 |        110 |             typing_inspection
import time:       849 |        849 |             typing_inspection.typing_objects
import time:       594 |       1552 |           typing_inspection.introspection
import time:       129 |        129 |           pydantic._internal
import time:       297 |        297 |               pydantic._internal._namespace_utils
import time:       305 |        602 |             pydantic._internal._typing_extra
import time:       217 |        818 |           pydantic._internal._repr
import time:       321 |       2819 |         pydantic.errors
import time:       245 |      15733 |       pydantic
import time:        70 |         70 |           pydantic._internal._internal_dataclass
import time:       783 |        853 |         pydantic.aliases
import time:       876 |        876 |         pydantic.config
import time:       235 |       1963 |       pydantic._internal._config
import time:       200 |        200 |         pydantic._internal._core_utils
import time:        81 |         81 |           pydantic._internal._import_utils
import time:       753 |        833 |         pydantic._internal._utils
import time:      2509 |       3542 |       pydantic._internal._decorators
import time:       332 |        332 |           pydantic._internal._forward_ref
import time:       327 |        658 |         pydantic._internal._generics
import time:       164 |        164 |         pydantic._internal._docs_extraction
import time:       275 |       1095 |       pydantic._internal._fields
import time:       401 |        401 |           pydantic.plugin
import time:       190 |        590 |         pydantic.plugin._schema_validator
import time:       224 |        813 |       pydantic._internal._mock_val_ser
import time:       224 |        224 |             _uuid
import time:       411 |        635 |           uuid
import time:       200 |        200 |             zoneinfo._tzpath
import time:       130 |        130 |             zoneinfo._common
import time:       170 |        170 |             _zoneinfo
import time:       167 |        666 |           zoneinfo
import time:       130 |        130 |           pydantic.annotated_handlers
import time:      2209 |       2209 |           pydantic.functional_validators
import time:       224 |        224 |             pydantic._internal._core_metadata
import time:       156 |        156 |             pydantic._internal._schema_generation_shared
import time:      1802 |       2181 |           pydantic.json_schema
import time:       238 |        238 |           pydantic._internal._discriminated_union
import time:       214 |        214 |           pydantic._internal._known_annotated_metadata
import time:       503 |        503 |           pydantic._internal._schema_gather
import time:      1353 |       8125 |         pydantic._internal._generate_schema
import time:       142 |        142 |         pydantic._internal._signature
import time:       366 |       8632 |       pydantic._internal._model_construction
import time:       116 |        116 |                   importlib.metadata._text
import time:       182 |        298 |                 importlib.metadata._adapters
import time:      1558 |       1855 |               meshio.__about__
import time:       106 |        106 |                         xml
import time:       119 |        225 |                       xml.etree
import time:       435 |        435 |                         xml.etree.ElementPath
import time:       384 |        384 |                           pyexpat
import time:       232 |        615 |                         _elementtree
import time:       690 |       1739 |                       xml.etree.ElementTree
import time:       180 |       2143 |                     meshio._common
import time:       113 |        113 |                     meshio._exceptions
import time:        75 |         75 |                     meshio._files
import time:       312 |        312 |                         numpy._typing._add_docstring
import time:       161 |        472 |                       numpy.typing
import time:       192 |        192 |                       meshio._mesh
import time:       116 |        779 |                     meshio._helpers
import time:       429 |       3536 |                   meshio.ansys._ansys
import time:        76 |       3612 |                 meshio.ansys
import time:       235 |        235 |                   meshio.flac3d._flac3d
import time:        84 |        318 |                 meshio.flac3d
import time:       230 |        230 |                     shlex
import time:       186 |        416 |                   meshio.gmsh.common
import time:       167 |        167 |                     meshio.gmsh._gmsh22
import time:       137 |        137 |                     meshio.gmsh._gmsh40
