import time: self [us] | cumulative | imported package
import time:       197 |        197 |         loguru._recattrs
import time:       120 |        120 |         loguru._simple_sinks
import time:       785 |      15928 |       loguru._logger
import time:       475 |        475 |       _sysconfigdata__linux_x86_64-linux-gnu
import time:      3015 |      19571 |     loguru
import time:       120 |        120 |         rich._extension
import time:       304 |        423 |       rich
import time:       225 |        225 |         termios
import time:       152 |        377 |       getpass
import time:       803 |        803 |         html.entities
import time:       264 |       1066 |       html
import time:       194 |        194 |       rich._null_file
import time:       135 |        135 |       rich.errors
import time:       103 |        103 |               colorsys
import time:       199 |        199 |                   rich.color_triplet
import time:       135 |        333 |                 rich.palette
import time:        80 |        413 |               rich._palettes
import time:       224 |        224 |               rich.repr
import time:       128 |        128 |               rich.terminal_theme
import time:       745 |       1611 |             rich.color
import time:       456 |       2066 |           rich.style
import time:       338 |       2404 |         rich.default_styles
import time:      1208 |       1208 |           configparser
import time:       208 |       1416 |         rich.theme
import time:        85 |       3904 |       rich.themes
import time:      1548 |       1548 |         rich._emoji_codes
import time:       256 |       1803 |       rich._emoji_replace
import time:        94 |         94 |       rich._export_format
import time:        61 |         61 |       rich._fileno
import time:       123 |        123 |           rich._loop
import time:        69 |         69 |           rich._pick
import time:        96 |         96 |               rich._cell_widths
import time:       220 |        315 |             rich.cells
import time:       117 |        431 |           rich._wrap
import time:       775 |        775 |                 rich.segment
import time:       121 |        895 |               rich.jupyter
import time:        77 |         77 |                 rich.protocol
import time:       240 |        316 |               rich.measure
import time:        78 |       1289 |             rich.constrain
import time:       197 |       1486 |           rich.align
import time:       517 |        517 |           rich.containers
import time:       216 |        216 |           rich.control
import time:       162 |        162 |           rich.emoji
import time:       735 |       3735 |         rich.text
import time:       153 |       3887 |       rich._log_render
import time:       204 |        204 |       rich.highlighter
import time:       501 |        501 |       rich.markup
import time:       108 |        108 |       rich.pager
import time:       302 |        302 |             attr._compat
import time:       161 |        161 |               unicodedata
import time:        64 |         64 |               attr._config
import time:       148 |        148 |                 attr.exceptions
import time:        76 |        223 |               attr.setters
import time:      2763 |       3210 |             attr._make
import time:       138 |       3649 |           attr.converters
import time:       106 |        106 |           attr.filters
import time:      2617 |       2617 |           attr.validators
import time:       122 |        122 |           attr._cmp
import time:       106 |        106 |           attr._funcs
